left_GeV,right_GeV,total,eta_0_09,eta_09_14,eta_14_inf
2.800,2.802,2644,1258,651,735
2.802,2.804,2520,1207,587,726
2.804,2.806,2558,1262,564,732
2.806,2.808,2537,1183,595,759
2.808,2.810,2533,1210,590,733
2.810,2.812,2622,1298,602,722
2.812,2.814,2508,1228,583,697
2.814,2.816,2558,1251,597,710
2.816,2.818,2509,1225,572,712
2.818,2.820,2431,1178,542,711
2.820,2.822,2467,1203,563,701
2.822,2.824,2545,1210,570,765
2.824,2.826,2545,1202,579,764
2.826,2.828,2576,1221,605,750
2.828,2.830,2511,1159,612,740
2.830,2.832,2584,1179,647,758
2.832,2.834,2369,1122,550,697
2.834,2.836,2542,1206,574,762
2.836,2.838,2511,1191,589,731
2.838,2.840,2549,1241,570,738
2.840,2.842,2448,1145,582,721
2.842,2.844,2526,1175,613,738
2.844,2.846,2528,1183,611,734
2.846,2.848,2548,1208,603,737
2.848,2.850,2551,1210,597,744
2.850,2.852,2509,1244,571,694
2.852,2.854,2440,1119,596,725
2.854,2.856,2510,1185,576,749
2.856,2.858,2514,1143,623,748
2.858,2.860,2503,1186,611,706
2.860,2.862,2480,1157,579,744
2.862,2.864,2512,1177,603,732
2.864,2.866,2477,1137,601,739
2.866,2.868,2488,1141,568,779
2.868,2.870,2454,1105,591,758
2.870,2.872,2494,1190,572,732
2.872,2.874,2585,1233,569,783
2.874,2.876,2603,1200,616,787
2.876,2.878,2589,1235,613,741
2.878,2.880,2570,1228,551,791
2.880,2.882,2524,1171,612,741
2.882,2.884,2597,1198,645,754
2.884,2.886,2541,1181,594,766
2.886,2.888,2514,1163,603,748
2.888,2.890,2665,1295,599,771
2.890,2.892,2602,1239,582,781
2.892,2.894,2595,1215,626,754
2.894,2.896,2606,1237,606,763
2.896,2.898,2549,1175,602,772
2.898,2.900,2544,1199,573,772
2.900,2.902,2635,1226,616,793
2.902,2.904,2577,1172,602,803
2.904,2.906,2606,1173,618,815
2.906,2.908,2586,1147,654,785
2.908,2.910,2658,1181,620,857
2.910,2.912,2568,1169,626,773
2.912,2.914,2582,1187,614,781
2.914,2.916,2677,1229,629,819
2.916,2.918,2522,1127,588,807
2.918,2.920,2551,1178,605,768
2.920,2.922,2596,1185,613,798
2.922,2.924,2641,1182,627,832
2.924,2.926,2658,1232,600,826
2.926,2.928,2737,1228,626,883
2.928,2.930,2751,1217,637,897
2.930,2.932,2684,1228,620,836
2.932,2.934,2656,1199,613,844
2.934,2.936,2780,1232,631,917
2.936,2.938,2761,1273,662,826
2.938,2.940,2900,1279,662,959
2.940,2.942,2894,1309,647,938
2.942,2.944,2937,1308,685,944
2.944,2.946,2911,1301,621,989
2.946,2.948,2844,1262,695,887
2.948,2.950,2944,1251,716,977
2.950,2.952,2974,1306,685,983
2.952,2.954,3023,1320,691,1012
2.954,2.956,2942,1239,671,1032
2.956,2.958,3024,1252,738,1034
2.958,2.960,3195,1348,737,1110
2.960,2.962,3157,1319,733,1105
2.962,2.964,3217,1339,731,1147
2.964,2.966,3273,1374,782,1117
2.966,2.968,3350,1379,777,1194
2.968,2.970,3326,1332,784,1210
2.970,2.972,3239,1286,778,1175
2.972,2.974,3546,1444,838,1264
2.974,2.976,3594,1416,860,1318
2.976,2.978,3711,1435,916,1360
2.978,2.980,3639,1446,852,1341
2.980,2.982,3708,1395,905,1408
2.982,2.984,3871,1461,957,1453
2.984,2.986,4108,1482,1021,1605
2.986,2.988,4066,1526,982,1558
2.988,2.990,4230,1532,1061,1637
2.990,2.992,4349,1594,1039,1716
2.992,2.994,4557,1620,1120,1817
2.994,2.996,4726,1664,1221,1841
2.996,2.998,4797,1691,1191,1915
2.998,3.000,5005,1715,1247,2043
3.000,3.002,5102,1724,1384,1994
3.002,3.004,5506,1939,1409,2158
3.004,3.006,5639,1836,1486,2317
3.006,3.008,5982,1955,1602,2425
3.008,3.010,6240,2041,1660,2539
3.010,3.012,6551,2126,1809,2616
3.012,3.014,6824,2101,1921,2802
3.014,3.016,7096,2252,1907,2937
3.016,3.018,7412,2289,2114,3009
3.018,3.020,7732,2475,2197,3060
3.020,3.022,8172,2581,2266,3325
3.022,3.024,8558,2681,2442,3435
3.024,3.026,9099,2918,2632,3549
3.026,3.028,9759,3130,2846,3783
3.028,3.030,10182,3271,2943,3968
3.030,3.032,10715,3509,3201,4005
3.032,3.034,11728,3945,3398,4385
3.034,3.036,12308,4129,3682,4497
3.036,3.038,13170,4625,3860,4685
3.038,3.040,13833,4871,4093,4869
3.040,3.042,14805,5437,4262,5106
3.042,3.044,15602,5763,4614,5225
3.044,3.046,16723,6324,4840,5559
3.046,3.048,17636,7079,5009,5548
3.048,3.050,18887,7573,5405,5909
3.050,3.052,20157,8182,5867,6108
3.052,3.054,21521,9197,6055,6269
3.054,3.056,23105,10161,6532,6412
3.056,3.058,24780,11225,6892,6663
3.058,3.060,26176,12312,7035,6829
3.060,3.062,27753,13175,7462,7116
3.062,3.064,29512,14582,7759,7171
3.064,3.066,31349,15938,8184,7227
3.066,3.068,33351,17173,8646,7532
3.068,3.070,35264,18748,8783,7733
3.070,3.072,37168,20150,9231,7787
3.072,3.074,38603,21276,9266,8061
3.074,3.076,40988,23052,9800,8136
3.076,3.078,42168,24066,10064,8038
3.078,3.080,44777,25976,10218,8583
3.080,3.082,46160,27193,10540,8427
3.082,3.084,47158,28046,10637,8475
3.084,3.086,48408,29160,10857,8391
3.086,3.088,49785,30241,11089,8455
3.088,3.090,51074,31199,11202,8673
3.090,3.092,51158,31379,11163,8616
3.092,3.094,51496,31697,11268,8531
3.094,3.096,51606,31723,11351,8532
3.096,3.098,51253,31503,11283,8467
3.098,3.100,50641,31233,10948,8460
3.100,3.102,49866,30681,10983,8202
3.102,3.104,48927,29856,10788,8283
3.104,3.106,47474,28772,10618,8084
3.106,3.108,46117,27561,10570,7986
3.108,3.110,44321,26194,10160,7967
3.110,3.112,42613,24758,10038,7817
3.112,3.114,40562,23212,9738,7612
3.114,3.116,39023,22220,9369,7434
3.116,3.118,36555,20311,9020,7224
3.118,3.120,34390,18562,8684,7144
3.120,3.122,32576,17341,8464,6771
3.122,3.124,30555,15835,8056,6664
3.124,3.126,28415,14451,7589,6375
3.126,3.128,26634,13176,7344,6114
3.128,3.130,24874,11885,7028,5961
3.130,3.132,23010,10750,6452,5808
3.132,3.134,21308,9458,6349,5501
3.134,3.136,19854,8527,5911,5416
3.136,3.138,18617,7864,5569,5184
3.138,3.140,17274,6991,5266,5017
3.140,3.142,15850,6185,4895,4770
3.142,3.144,14832,5649,4672,4511
3.144,3.146,13636,5021,4174,4441
3.146,3.148,12634,4490,4075,4069
3.148,3.150,11880,4047,3733,4100
3.150,3.152,11079,3657,3472,3950
3.152,3.154,10223,3289,3317,3617
3.154,3.156,9546,3036,3040,3470
3.156,3.158,8995,2801,2849,3345
3.158,3.160,8201,2518,2672,3011
3.160,3.162,7844,2262,2503,3079
3.162,3.164,7364,2196,2247,2921
3.164,3.166,6820,1919,2125,2776
3.166,3.168,6371,1786,2022,2563
3.168,3.170,5978,1723,1808,2447
3.170,3.172,5680,1593,1726,2361
3.172,3.174,5400,1408,1635,2357
3.174,3.176,4945,1321,1538,2086
3.176,3.178,4935,1356,1445,2134
3.178,3.180,4473,1259,1304,1910
3.180,3.182,4266,1192,1270,1804
3.182,3.184,4123,1110,1241,1772
3.184,3.186,3775,1055,1090,1630
3.186,3.188,3773,1047,1080,1646
3.188,3.190,3353,946,941,1466
3.190,3.192,3348,995,943,1410
3.192,3.194,3292,935,866,1491
3.194,3.196,3200,950,821,1429
3.196,3.198,2938,874,784,1280
3.198,3.200,2910,875,768,1267
3.200,3.202,2865,895,717,1253
3.202,3.204,2656,845,681,1130
3.204,3.206,2507,768,650,1089
3.206,3.208,2541,825,614,1102
3.208,3.210,2371,799,557,1015
3.210,3.212,2295,783,567,945
3.212,3.214,2252,778,564,910
3.214,3.216,2244,773,520,951
3.216,3.218,2055,725,490,840
3.218,3.220,2170,774,505,891
3.220,3.222,2097,721,500,876
3.222,3.224,2035,774,452,809
3.224,3.226,1945,713,436,796
3.226,3.228,1951,730,447,774
3.228,3.230,1853,707,429,717
3.230,3.232,1793,709,397,687
3.232,3.234,1853,702,423,728
3.234,3.236,1743,693,377,673
3.236,3.238,1772,709,395,668
3.238,3.240,1768,695,411,662
3.240,3.242,1692,664,386,642
3.242,3.244,1705,682,373,650
3.244,3.246,1719,720,367,632
3.246,3.248,1628,636,351,641
3.248,3.250,1634,686,345,603
3.250,3.252,1644,696,374,574
3.252,3.254,1585,624,394,567
3.254,3.256,1580,638,368,574
3.256,3.258,1593,678,332,583
3.258,3.260,1634,706,341,587
3.260,3.262,1604,658,395,551
3.262,3.264,1525,616,347,562
3.264,3.266,1578,660,321,597
3.266,3.268,1517,639,332,546
3.268,3.270,1511,630,329,552
3.270,3.272,1483,631,301,551
3.272,3.274,1426,600,308,518
3.274,3.276,1479,632,331,516
3.276,3.278,1437,619,298,520
3.278,3.280,1505,664,331,510
3.280,3.282,1417,631,306,480
3.282,3.284,1428,632,332,464
3.284,3.286,1426,625,320,481
3.286,3.288,1432,609,328,495
3.288,3.290,1398,604,315,479
3.290,3.292,1313,566,271,476
3.292,3.294,1408,591,324,493
3.294,3.296,1384,613,315,456
3.296,3.298,1339,596,298,445
3.298,3.300,1321,552,283,486
3.300,3.302,1385,592,299,494
3.302,3.304,1356,584,308,464
3.304,3.306,1337,565,320,452
3.306,3.308,1385,578,319,488
3.308,3.310,1313,582,301,430
3.310,3.312,1309,564,293,452
3.312,3.314,1361,598,317,446
3.314,3.316,1326,586,307,433
3.316,3.318,1195,509,287,399
3.318,3.320,1291,562,291,438
3.320,3.322,1283,573,280,430
3.322,3.324,1299,592,294,413
3.324,3.326,1249,560,281,408
3.326,3.328,1317,599,294,424
3.328,3.330,1282,569,310,403
3.330,3.332,1224,547,290,387
3.332,3.334,1312,592,284,436
3.334,3.336,1308,588,286,434
3.336,3.338,1220,525,265,430
3.338,3.340,1198,505,279,414
3.340,3.342,1206,537,249,420
3.342,3.344,1227,530,285,412
3.344,3.346,1157,522,231,404
3.346,3.348,1231,531,254,446
3.348,3.350,1249,538,271,440
3.350,3.352,1227,536,268,423
3.352,3.354,1278,565,279,434
3.354,3.356,1191,527,287,377
3.356,3.358,1221,517,308,396
3.358,3.360,1204,503,276,425
3.360,3.362,1182,504,279,399
3.362,3.364,1186,524,257,405
3.364,3.366,1147,490,267,390
3.366,3.368,1102,507,234,361
3.368,3.370,1152,499,237,416
3.370,3.372,1160,492,262,406
3.372,3.374,1150,512,242,396
3.374,3.376,1198,528,256,414
3.376,3.378,1156,529,263,364
3.378,3.380,1177,499,292,386
3.380,3.382,1227,510,284,433
3.382,3.384,1184,518,277,389
3.384,3.386,1090,487,238,365
3.386,3.388,1113,493,239,381
3.388,3.390,1120,495,223,402
3.390,3.392,1164,485,263,416
3.392,3.394,1127,502,229,396
3.394,3.396,1075,482,237,356
3.396,3.398,1146,515,250,381
3.398,3.400,1077,474,244,359
